Number of trabsactions: 952
1978-04-13 sell-high WMT 1355242
1978-10-30 buy-low LMT 175682
1978-10-30 sell-close LMT 175682
1979-03-22 buy-low DWDP 945700
1979-03-22 sell-close DWDP 945700
1979-04-06 buy-open WMT 8673552
1979-04-06 sell-high WMT 8673552
1979-07-10 buy-open WMT 783030
1979-07-10 sell-high WMT 783030
1979-07-11 buy-low WMT 4366896
1979-07-11 sell-close WMT 4366896
1979-08-07 buy-open WMT 813145
1979-08-07 sell-high WMT 813145
1979-08-16 buy-open WMT 12016485
1979-08-16 sell-high WMT 12016485
1979-10-08 buy-low WMT 1325125
1979-10-08 sell-close WMT 1325125
1979-10-10 buy-low WMT 4577708
1979-10-10 sell-close WMT 4577708
1979-12-28 buy-low LMT 64755
1979-12-28 sell-close LMT 64755
1980-01-08 buy-low MRO 1227748
1980-01-08 sell-close MRO 1227748
1980-01-18 buy-open LUV 1380092
1980-01-18 sell-high LUV 1380092
1980-02-04 buy-low UNP 562156
1980-02-04 sell-close UNP 562156
1980-03-27 buy-low BA 600343
1980-03-27 sell-close BA 600343
1980-05-22 buy-low LUV 1469131
1980-05-22 sell-close LUV 1469131
1980-06-03 buy-open LUV 4296091
1980-06-03 sell-high LUV 4296091
1980-11-05 buy-open LUV 4043816
1980-11-05 sell-high LUV 4043816
1980-12-22 buy-open WMT 2484611
1980-12-22 sell-high WMT 2484611
1980-12-23 buy-open WMT 3357991
1980-12-23 sell-high WMT 3357991
1981-09-22 buy-open HD 8758085
1981-09-22 sell-high HD 8758085
1981-09-23 buy-open HD 8677736
1981-09-23 sell-high HD 8677736
1981-09-24 buy-open HD 6026201
1981-09-24 sell-high HD 6026201
1981-09-25 buy-open HD 8637557
1981-09-25 sell-high HD 8637557
1981-09-28 buy-open HD 6829694
1981-09-28 sell-high HD 6829694
1981-09-29 buy-open HD 4700439
1981-09-29 sell-high HD 4700439
1981-09-30 buy-open HD 6186899
1981-09-30 sell-high HD 6186899
1981-10-29 buy-open HD 723141
1981-10-29 sell-high HD 723141
1981-11-13 buy-open HD 361572
1981-11-13 sell-high HD 361572
1982-01-04 buy-open HD 160698
1982-01-04 sell-high HD 160698
1982-01-05 buy-open HD 522271
1982-01-05 sell-high HD 522271
1982-01-06 buy-open HD 361572
1982-01-06 sell-high HD 361572
1982-01-07 buy-open HD 3615718
